viento,v_viento,p_ola,m_ola,presion,temperatura,clase
0.182574,0.2607,0,0,0.651572,0.287129,0
0.324056,0.357977,0.02699,0.013767,0.786164,0.920792,0
0.300256,0.404669,0.020069,0.035044,0.666667,0.841584,0
0.340461,0.346304,0.020069,0.042553,0.710692,0.564356,0
0.279654,0.287938,0.097578,0.043805,0.625157,0.247525,0
0.358193,0.284047,0.013149,0.045056,0.740881,0.742574,0
0.034838,0.326848,0.097578,0.051314,0.738365,0.534653,0
0.365871,0.385214,0.02699,0.060075,0.667925,0.90099,1
0.044009,0.284047,0.073356,0.060075,0.724528,0.524752,0
0.212689,0.18677,0.587543,0.062578,0.761006,0.623762,0
0.198193,0.256809,0.142561,0.06383,0.805031,0.851485,0
0.288705,0.287938,0.02699,0.070088,0.631447,0.257426,0
0.184851,0.276265,0.052595,0.075094,0.691824,0.831683,0
0.298452,0.319066,0.062976,0.077597,0.728302,0.940594,0
0.25637,0.252918,0.062976,0.078849,0.718239,0.930693,0
0.317316,0.237354,0.097578,0.085106,0.718239,0.940594,0
0.276572,0.319066,0.043599,0.085106,0.728503,0.564356,0
0.408479,0.315175,0.689273,0.091364,0.640252,0.49505,0
0.243984,0.22179,0.062976,0.092616,0.640252,0.267327,0
0.215679,0.214008,0.125952,0.092616,0.667925,0.831683,0
0.121499,0.245136,0.142561,0.093867,0.734591,0.584158,0
0.360174,0.357977,0.097578,0.09637,0.699371,0.544554,0
0.33469,0.346304,0.052595,0.09637,0.738365,0.60396,0
0.253155,0.319066,0.635294,0.09637,0.805031,0.891089,0
0.389682,0.330739,0.20346,0.097622,0.632704,0.257426,1
0.377442,0.264591,0.229066,0.097622,0.681761,0.574257,0
0.062726,0.202335,0.062976,0.098874,0.744654,0.564356,0
0.278383,0.252918,0.160554,0.098874,0.803774,0.851485,0
0.12078,0.210117,0.160554,0.102628,0.802516,0.851485,0
0.275609,0.299611,0.20346,0.10388,0.763522,0.564356,0
0.204437,0.2607,0.181315,0.105131,0.696855,0.940594,0
0.066766,0.249027,0.160554,0.108886,0.794969,0.861386,0
0.101428,0.241245,0.32872,0.110138,0.594969,0.752475,0
0.476504,0.400778,0.062976,0.110138,0.759748,0.326733,1
0.406731,0.249027,0.903806,0.110138,0.798201,0.168317,0
0.406694,0.307393,0.125952,0.111389,0.690566,0.544554,1
0.383697,0.280156,0.073356,0.113892,0.713208,0.613861,0
0.363941,0.33463,0.587543,0.115144,0.656604,0.871287,0
0.252454,0.210117,0.181315,0.115144,0.725786,0.455446,1
0.437473,0.385214,0.125952,0.116395,0.657862,0.584158,1
0.314387,0.29572,0.635294,0.116395,0.71195,0.940594,0
0.330392,0.319066,0.125952,0.12015,0.742138,0.831683,0
0.423152,0.36965,0.258131,0.12015,0.772327,0.851485,1
0.12751,0.22179,0.290657,0.121402,0.708176,0.811881,0
0.196854,0.175097,0.229066,0.121402,0.732075,0.90099,0
0.286443,0.233463,0.125952,0.122653,0.642767,0.277228,0
0.223819,0.268482,0.111419,0.122653,0.680503,0.831683,0
0.292394,0.307393,0.160554,0.122653,0.761006,0.584158,0
0.402863,0.326848,0.425606,0.123905,0.631447,0.643564,1
0.482579,0.529183,0.085121,0.126408,0.642767,0.831683,1
0.476364,0.354086,0.111419,0.126408,0.69434,0.653465,1
0.176695,0.163424,0.20346,0.128911,0.85283,0.881188,0
0.202703,0.18677,0.097578,0.130163,0.647799,0.257426,0
0.235528,0.233463,0.142561,0.130163,0.769811,0.574257,0
0.279363,0.268482,0.142561,0.131414,0.732075,0.70297,0
0.451015,0.412451,0.125952,0.131414,0.765195,0.158416,2
0.330235,0.311284,0.052595,0.131414,0.895874,0.069307,0
0.347695,0.299611,0.488581,0.132666,0.629157,0.425743,0
0.356949,0.33463,0.142561,0.133917,0.709434,0.891089,1
0.284241,0.303502,0.160554,0.135169,0.693082,0.940594,0
0.196106,0.116732,0.750865,0.135169,0.815094,0.851485,0
0.233043,0.420233,0.160554,0.136421,0.695597,0.811881,0
0.248299,0.194553,0.181315,0.136421,0.719497,0.80198,0
0.422204,0.463035,0.111419,0.137672,0.832704,0.871287,1
0.058545,0.143969,0.689273,0.138924,0.786164,0.871287,0
0.589392,0.51751,0.181315,0.140175,0.598377,0.405941,2
0.439049,0.400778,0.160554,0.140175,0.622642,0.831683,1
0.236246,0.284047,0.062976,0.140175,0.728302,0.70297,0
0.276572,0.284047,0.425606,0.141427,0.655346,0.70297,0
0.274857,0.319066,0.20346,0.141427,0.703145,0.584158,0
0.254086,0.256809,0.142561,0.141427,0.762264,0.574257,0
0.168066,0.2607,0.635294,0.142678,0.555975,0.742574,0
0.458335,0.463035,0.111419,0.142678,0.686792,0.574257,1
0.069164,0.241245,0.903806,0.142678,0.71195,0.673267,0
0.098396,0.202335,0.258131,0.142678,0.771069,0.861386,0
0.212516,0.280156,0.160554,0.14393,0.728302,0.693069,0
0.264533,0.276265,0.142561,0.14393,0.816352,0.207921,0
0.260369,0.194553,0.544637,0.145181,0.807547,0.930693,0
0.225687,0.264591,0.181315,0.146433,0.724528,0.425743,0
0.235528,0.206226,0.181315,0.146433,0.72956,0.90099,0
0.377068,0.416342,0.32872,0.146433,0.732075,0.930693,1
0.348376,0.256809,0.229066,0.146433,0.734591,0.60396,1
0.332893,0.229572,0.229066,0.147685,0.755975,0.910891,0
0.238637,0.128405,0.689273,0.148936,0.715044,0.544554,0
0.367831,0.36965,0.097578,0.148936,0.748428,0.277228,0
0.300256,0.268482,0.160554,0.148936,0.768553,0.920792,0
0.581562,0.439689,0.181315,0.150188,0.598742,0.811881,1
0.437558,0.365759,0.062976,0.150188,0.618868,0.811881,1
0.252454,0.22179,0.32872,0.153942,0.627673,0.80198,0
0.32699,0.29572,0.32872,0.153942,0.647799,0.891089,0
0.377383,0.276265,0.229066,0.153942,0.750943,0.910891,0
0.412042,0.36965,0.20346,0.153942,0.803774,0.633663,1
0.306618,0.319066,0.111419,0.153942,0.826415,0.861386,1
0.418211,0.392996,0.062976,0.153942,0.833019,0.069307,1
0.221371,0.11284,0.097578,0.155194,0.721031,0.554455,0
0.381235,0.377432,0.160554,0.156446,0.796226,0.089109,1
0.458173,0.330739,0.160554,0.157697,0.628931,0.831683,1
0.439861,0.392996,0.085121,0.157697,0.679245,0.732673,2
0.363125,0.284047,0.750865,0.157697,0.698113,0.732673,0
0.195168,0.210117,0.229066,0.157697,0.769811,0.960396,0
0.231265,0.280156,0.32872,0.157697,0.908176,0.940594,0
0.365648,0.315175,0.32872,0.158949,0.661635,0.90099,0
0.220939,0.124514,0.181315,0.158949,0.72956,0.425743,0
0.31193,0.315175,0.160554,0.158949,0.732075,0.950495,0
0.35447,0.276265,0.111419,0.1602,0.70566,0.425743,1
0.259261,0.202335,0.229066,0.1602,0.816868,0.475248,0
0.300945,0.392996,0.160554,0.1602,0.903145,0.831683,0
0.229217,0.206226,0.229066,0.161452,0.709434,0.574257,0
0.282807,0.249027,0.181315,0.161452,0.847799,0.90099,0
0.388137,0.354086,0.111419,0.162703,0.617899,0.415842,1
0.212931,0.194553,0.160554,0.162703,0.680503,0.90099,0
0.352584,0.319066,0.111419,0.162703,0.744654,0.80198,0
0.249721,0.245136,0.160554,0.162703,0.754717,0.574257,0
0.296687,0.229572,0.229066,0.162703,0.867925,0.663366,1
0.300945,0.330739,0.229066,0.163955,0.744654,0.960396,0
0.373214,0.29572,0.258131,0.165207,0.640252,0.891089,1
0.215815,0.256809,0.750865,0.165207,0.788679,0.841584,0
0.380495,0.326848,0.142561,0.166458,0.569811,0.485149,1
0.422766,0.326848,0.488581,0.16771,0.572327,0.524752,1
0.257089,0.233463,0.488581,0.16771,0.633962,0.772277,0
0.401387,0.33463,0.689273,0.16771,0.686792,0.821782,0
0.241981,0.194553,0.689273,0.16771,0.8,0.90099,0
0.083887,0.225681,0.903806,0.168961,0.566038,0.762376,0
0.169973,0.319066,0.290657,0.168961,0.649057,0.930693,1
0.145094,0.136187,0.142561,0.168961,0.755975,0.70297,0
0.260369,0.311284,0.142561,0.168961,0.837736,0.207921,0
0.321948,0.373541,0.258131,0.168961,0.844025,0.920792,1
0.316639,0.241245,0.425606,0.170213,0.630189,0.782178,0
0.282284,0.396887,0.142561,0.170213,0.701887,0.712871,0
0.417216,0.354086,0.181315,0.170213,0.74717,0.50495,1
0.314411,0.241245,0.20346,0.170213,0.885535,0.653465,0
0.428002,0.354086,0.181315,0.171464,0.70566,0.574257,1
0.407333,0.361868,0.290657,0.171464,0.710692,0.752475,1
0.319084,0.322957,0.181315,0.171464,0.720755,0.584158,0
0.291939,0.326848,0.181315,0.171464,0.774843,0.60396,0
0.352121,0.291829,0.258131,0.171464,0.783648,0.633663,0
0.128249,0.303502,0.290657,0.172716,0.658365,0.089109,1
0.180797,0.315175,0.544637,0.172716,0.875132,0.069307,0
0.355263,0.303502,0.290657,0.173967,0.752201,0.811881,1
0.045092,0.105058,0.20346,0.173967,0.802516,0.623762,0
0.277851,0.338521,0.125952,0.175219,0.690566,0.930693,0
0.353591,0.225681,0.37301,0.175219,0.727044,0.653465,0
0.551768,0.486381,0.142561,0.175219,0.74717,0.831683,2
0.255476,0.2607,0.258131,0.175219,0.821384,0.643564,0
0.321649,0.33463,0.37301,0.175219,0.866667,0.217822,0
0.33924,0.299611,0.229066,0.176471,0.636478,0.891089,0
0.232283,0.249027,0.181315,0.176471,0.696855,0.584158,0
0.377795,0.315175,0.160554,0.176471,0.735849,0.514851,1
0.356783,0.326848,0.258131,0.176471,0.815094,0.821782,1
0.368737,0.342412,0.181315,0.176471,0.872553,0.069307,1
0.327488,0.396887,0.142561,0.176471,0.899371,0.891089,0
0.325151,0.33463,0.142561,0.176471,0.90566,0.841584,0
0.405726,0.346304,0.160554,0.177722,0.720755,0.435644,0
0.242438,0.202335,0.587543,0.177722,0.758491,0.336634,0
0.487742,0.326848,0.290657,0.177722,0.777358,0.930693,1
0.1212,0.214008,0.229066,0.177722,0.83522,0.861386,0
0.322752,0.311284,0.290657,0.177722,0.87673,0.663366,0
0.090311,0.552529,0.20346,0.178974,0.589937,0.623762,1
0.208709,0.128405,0.32872,0.178974,0.632704,0.70297,0
0.334314,0.291829,0.37301,0.178974,0.700629,0.415842,0
0.471472,0.354086,0.160554,0.178974,0.732075,0.277228,0
0.217547,0.272374,0.229066,0.180225,0.716981,0.80198,0
0.215371,0.18677,0.181315,0.180225,0.771069,0.564356,0
0.511882,0.478599,0.20346,0.180225,0.778277,0.39604,2
0.400072,0.420233,0.160554,0.180225,0.779836,0.059406,1
0.333804,0.389105,0.160554,0.180225,0.825258,0.376238,1
0.285305,0.404669,0.142561,0.180225,0.847799,0.217822,0
0.418832,0.513619,0.32872,0.181477,0.649057,0.920792,1
0.323576,0.252918,0.20346,0.181477,0.703145,0.584158,0
0.290721,0.2607,0.20346,0.181477,0.708176,0.376238,0
0.289421,0.346304,0.258131,0.181477,0.781132,0.584158,0
0.522621,0.509728,0.111419,0.181477,0.828931,0.029703,2
0.342024,0.389105,0.750865,0.182728,0.640252,0.742574,1
0.383562,0.322957,0.160554,0.18398,0.730818,0.386139,1
0.368536,0.361868,0.229066,0.18398,0.768553,0.811881,1
0.263526,0.2607,0.142561,0.18398,0.781132,0.881188,0
0.292445,0.264591,0.258131,0.18398,0.832704,0.821782,0
0.426124,0.299611,0.229066,0.185232,0.690566,0.811881,1
0.294184,0.299611,0.229066,0.185232,0.701887,0.554455,0
0.241096,0.22179,0.635294,0.185232,0.704403,0.950495,0
0.370622,0.280156,0.290657,0.185232,0.730818,0.524752,0
0.165918,0.108949,0.425606,0.185232,0.743396,0.70297,0
0.257289,0.194553,0.181315,0.185232,0.751786,0.534653,0
0.464246,0.416342,0.258131,0.185232,0.788679,0.841584,1
0.022096,0.116732,0.160554,0.185232,0.788679,0.910891,0
0.283642,0.307393,0.258131,0.185232,0.797484,0.831683,0
0.29247,0.284047,0.258131,0.185232,0.822642,0.613861,0
0.330929,0.346304,0.32872,0.185232,0.837736,0.277228,1
0.444162,0.420233,0.425606,0.186483,0.680503,0.762376,1
0.423625,0.404669,0.111419,0.186483,0.693082,0.80198,1
0.391278,0.486381,0.181315,0.186483,0.713208,0.821782,1
0.346157,0.385214,0.20346,0.186483,0.781132,0.831683,1
0.287499,0.256809,0.290657,0.186483,0.822642,0.831683,0
0.316499,0.381323,0.258131,0.186483,0.866667,0.821782,1
